,index,Intercept,ex_long,ex_short_L1,ex_short_L2,ex_short_L3,hs2,hs2_name,p_Intercept,p_ex_long,p_ex_short_L1,p_ex_short_L2,p_ex_short_L3,count
0,24,-6.465214202594963,3.5182326898656306,-4.345529790211807,-7.381733533507903,6.9401032643400145,24,Tobacco and manufactured tobacco substitutes.,0.24250663279583184,0.02978371806674862,0.0362661720755626,0.1456078923142501,0.613705022511394,833
1,57,-9.010117291176527,3.417720879760583,1.6920008622128109,4.211808675850498,3.1856229172327186,57,Carpets and other textile floor coverings.,0.002624629418452429,0.0005032775817948032,0.156506135897438,0.10891715979230754,0.5270117854671152,1226
2,65,-12.847359473862625,2.5771488191780896,-0.9551383625762122,1.0725544897242076,4.556038210099438,65,Headgear and parts thereof.,9.095450392848647e-08,3.824701488852611e-08,0.10770888265646694,0.11526528202918951,4.13897641982075e-05,2210
3,78,-7.06602177341828,1.919139611749482,0.13727573484769193,0.6388821753836617,4.240465133847087,78,Lead and articles thereof.,0.07997645154324795,0.10342366774658496,0.9310309802844774,0.6174623194336828,0.07589982539423401,845
4,80,-5.111206896058625,1.8945822074925893,-0.38360868107990237,0.6643983571909183,-0.09236528027686647,80,Tin and articles thereof.,0.06673632803016716,0.001220566013951041,0.5754496803143629,0.443274631009801,0.9538386191885144,1415
5,86,-4.659186625032741,1.7606295849332112,-2.1207618974072973,-5.12508008173932,3.9673592753818476,86,Railway or tramway locomotives  rolling-stock and parts thereof; railway or tramway track fixtures and fittings and parts thereof; mechanical (including electro-mechanical) traffic signalling equipment of all kinds.,0.19022480350005178,0.00784219538770281,0.04047055145838363,0.058106592101440535,0.34197617126897084,1653
6,93,-11.254376091412086,1.577651474142274,-1.7507162189305632,-3.4955147647513227,-7.136274918210945,93,Arms and ammunition; parts and accessories thereof.,0.0023777460889473634,0.0038318424827361586,0.16830658718742741,0.0465738807038758,0.3519263353134834,1559
7,64,-2.6522569433729206,1.5308834728349774,0.33760429913591444,-0.20472716081145534,1.0429711399654509,64,Footwear  gaiters and the like; parts of such articles.,0.1537606256544397,1.1450043697847079e-05,0.10613325202200707,0.4971948404831896,0.03852555417943182,1932
8,10,-5.322466655520812,1.5268580013386088,-7.143009762458696,-9.150894913494875,-4.777505781293296,10,Cereals.,0.199284822687682,0.025017603323935544,1.273993334094392e-05,0.000376600324536458,0.2668273450542482,1206
9,25,-0.8742813667177071,1.4798977478631927,-0.9805222981329726,-2.229729609515322,8.2777956707671,25,Salt; sulphur; earths and stone; plastering materials  lime and cement.,0.6385384322841146,0.0020940951173331612,0.27268206491584146,0.14548737424235325,0.08432758679263208,2391
10,17,-4.033581236007515,1.2417733983559527,0.6814756161871377,0.63185634498598,-0.10454904407186895,17,Sugars and sugar confectionery.,0.007735369296064221,0.0017944125386033516,0.13854947577286003,0.014297561146208171,0.8576952808859324,1800
11,16,-0.3458244373491745,0.9210710216461027,-0.03332517419758148,0.7892735245203184,-1.2461632197493606,16,Preparations of meat  of fish or of crustaceans  molluscs or other aquatic invertebrates.,0.8676954021555905,0.15094147001339842,0.9538012327858014,0.44498485156665324,0.48846627013816146,1776
12,97,-4.984059889210707,0.8966911553603145,-2.9561777531217133,-5.273423215034939,-0.6602163177634098,97,Works of art  collectors' pieces and antiques.,0.2728512550399942,0.07579389338335707,0.15265238504175804,0.09542560171753145,0.864165618672305,1499
13,71,0.5884234722380953,0.6702409061115914,0.47029343138456897,0.6791795889159531,1.1303291628490602,71,Natural or cultured pearls  precious or semi-precious stones  precious metals  metals clad with precious metal and articles thereof; imitation jewellery; coin.,0.727132823497254,0.3242129049794178,0.51088493973236,0.6481481106367568,0.3523391176475563,2858
14,47,0.9360118668910583,0.6364572750341587,-2.1193169212997245,-12.570168268474035,4.315187493831503,47,Pulp of wood or of other fibrous cellulosic material; recovered (waste and scrap) paper or paperboard.,0.832747471255983,0.5700741902580666,0.4782795051645441,0.2903962810251741,0.7266708350044246,554
15,41,-0.1463748200504701,0.632014937832191,-0.03491794883906167,0.15394352852764928,0.5410771406728057,41,Raw hides and skins (other than furskins) and leather.,0.937743721586954,0.19226785450762418,0.9588716509676822,0.8893523503092853,0.7118642334101639,1578
16,44,2.223572747574496,0.6153049994430554,0.33383782096825176,1.6526857442347223,0.989926096318559,44,Wood and articles of wood; wood charcoal.,0.2025134007662368,0.018327745553125885,0.6664559243682067,0.19845838123614246,0.6181654052267698,2286
17,63,0.69236313501109,0.6047987168697283,0.08680361049660902,0.14355503670681613,-0.3585102264345114,63,Other made up textile articles; sets; worn clothing and worn textile articles; rags.,0.4556463795351804,0.002233520476866202,0.674146218112678,0.6714922554650506,0.5754226659435033,2911
18,43,7.696291127345156,0.39003329805600534,-6.7494109012848345,8.11677001429099,6.279900348250592,43,Furskins and artificial fur; manufactures thereof.,0.4124151330220249,0.6825979556667034,0.776692704617316,0.6179414450830856,0.5129193896152584,337
19,50,0.9184647280214443,0.288686340789497,0.7161915510067597,0.7908467494453354,-2.2893814370373504,50,Silk.,0.7375092109345043,0.6946202783162372,0.3435493634454261,0.578509760814161,0.23088242885105137,1264
20,22,3.236634340351896,0.28867319992695145,0.662288164426861,0.5710455947853837,-0.7485130960796532,22,Beverages  spirits and vinegar.,0.012727482400423318,0.37801394303753666,0.09879241580075315,0.31662267077729034,0.5723795295862182,2562
21,23,1.4432883883270522,0.28771237636276137,0.12190117778993392,0.14986483586253846,-0.20413251865389045,23,Residues and waste from the food industries; prepared animal fodder.,0.0860862863612577,0.0044099399915467075,0.4913490897550714,0.5894525534588806,0.7887797574399245,1941
22,13,0.1137691494292501,0.2645828256261831,0.37363677592541167,1.5903377124091556,1.9869986120409056,13,Lac; gums  resins and other vegetable saps and extracts.,0.9562606695058522,0.4072441950023358,0.6902576080609033,0.4146576214064148,0.5982280882570135,1854
23,91,1.5757222135268536,0.2617970374328595,0.28065687265559447,0.3182130171519927,0.3428719970068026,91,Clocks and watches and parts thereof.,0.010658517697548886,0.1550724404080699,0.026746137911160206,0.09060203795185107,0.3870916281851082,3034
24,61,1.5049835149025081,0.2577418774938189,0.30534866273519945,0.033100818260333974,0.4737108532507151,61,Articles of apparel and clothing accessories  knitted or crocheted.,0.0614837579822487,0.007969256636901845,0.02386199818751078,0.885747426163503,0.19328219947863956,2420
25,42,1.9842753633918737,0.257556078764148,0.11724017291278392,0.2284842521067705,0.3636052472906871,42,Articles of leather; saddlery and harness; travel goods  handbags and similar containers; articles of animal gut (other than silk-worm gut).,0.08225603267610349,0.27600359834519606,0.480348428961183,0.43458651187100683,0.5276680304469128,2198
