,index,Intercept,ex_long,ex_short_L1,ex_short_L2,ex_short_L3,hs2,hs2_name,p_Intercept,p_ex_long,p_ex_short_L1,p_ex_short_L2,p_ex_short_L3,count
0,24,-6.465214202594963,3.5182326898656306,-4.345529790211807,-7.381733533507903,6.9401032643400145,24,Tobacco and manufactured tobacco substitutes.,0.3683248612200196,0.7087207503764383,0.12564413886029913,0.21296595605039803,0.724959124788169,1940
1,57,-9.010117291176527,3.417720879760583,1.6920008622128109,4.211808675850498,3.1856229172327186,57,Carpets and other textile floor coverings.,0.019630679999443235,0.71929264556322,0.41484813263143927,0.44919960535296477,0.031068492100059908,2393
2,65,-12.847359473862625,2.5771488191780896,-0.9551383625762122,1.0725544897242076,4.556038210099438,65,Headgear and parts thereof.,0.843535419411718,0.020018608395043325,0.6753399579319683,0.8276549127725166,0.7237029903569074,2520
3,78,-7.06602177341828,1.919139611749482,0.13727573484769193,0.6388821753836617,4.240465133847087,78,Lead and articles thereof.,0.10621165740703731,0.15171729146935675,0.6055123299902605,0.6642389018898629,0.724238237448247,1069
4,80,-5.111206896058625,1.8945822074925893,-0.38360868107990237,0.6643983571909183,-0.09236528027686647,80,Tin and articles thereof.,0.6323591668314452,0.1466346879603999,0.05614201597008761,0.9587073316523813,0.5862189978086414,2226
5,86,-4.659186625032741,1.7606295849332112,-2.1207618974072973,-5.12508008173932,3.9673592753818476,86,Railway or tramway locomotives  rolling-stock and parts thereof; railway or tramway track fixtures and fittings and parts thereof; mechanical (including electro-mechanical) traffic signalling equipment of all kinds.,0.8208856885191813,0.33453896960062623,0.3090515024121836,0.11089932584010898,0.5233556857977844,1630
6,93,-11.254376091412086,1.577651474142274,-1.7507162189305632,-3.4955147647513227,-7.136274918210945,93,Arms and ammunition; parts and accessories thereof.,0.03971891924353366,0.36423378943435747,0.7997902167378066,0.3802150910916957,0.2743696039319128,1237
7,64,-2.6522569433729206,1.5308834728349774,0.33760429913591444,-0.20472716081145534,1.0429711399654509,64,Footwear  gaiters and the like; parts of such articles.,0.08373201652957496,0.6748577897976933,0.023687303664450265,0.10625606277548472,0.6892533403105048,3076
8,10,-5.322466655520812,1.5268580013386088,-7.143009762458696,-9.150894913494875,-4.777505781293296,10,Cereals.,0.0801953255878598,0.6882908870287541,0.01576615349639554,0.7564010878336678,0.9768260499006372,2495
9,25,-0.8742813667177071,1.4798977478631927,-0.9805222981329726,-2.229729609515322,8.2777956707671,25,Salt; sulphur; earths and stone; plastering materials  lime and cement.,4.387871961331058e-06,0.05059290083069734,0.8486259458742604,0.06556700156733752,0.3467066632673168,2746
10,17,-4.033581236007515,1.2417733983559527,0.6814756161871377,0.63185634498598,-0.10454904407186895,17,Sugars and sugar confectionery.,0.11629998647251671,0.621618103132574,0.08745056227757342,0.709217544558518,0.012444993783986114,2335
11,16,-0.3458244373491745,0.9210710216461027,-0.03332517419758148,0.7892735245203184,-1.2461632197493606,16,Preparations of meat  of fish or of crustaceans  molluscs or other aquatic invertebrates.,4.770316634372662e-06,0.048555566958979,0.0008514238155352682,0.2066857274347298,0.46616337720353407,2756
12,97,-4.984059889210707,0.8966911553603145,-2.9561777531217133,-5.273423215034939,-0.6602163177634098,97,Works of art  collectors' pieces and antiques.,5.725823430435817e-05,0.2225392555469472,0.039372577856161106,0.5357457867787132,0.1427272961428423,2538
13,71,0.5884234722380953,0.6702409061115914,0.47029343138456897,0.6791795889159531,1.1303291628490602,71,Natural or cultured pearls  precious or semi-precious stones  precious metals  metals clad with precious metal and articles thereof; imitation jewellery; coin.,0.03291634570681179,0.5554149174322922,0.15754210504890565,0.6925582313169372,0.9625212380576076,3426
14,47,0.9360118668910583,0.6364572750341587,-2.1193169212997245,-12.570168268474035,4.315187493831503,47,Pulp of wood or of other fibrous cellulosic material; recovered (waste and scrap) paper or paperboard.,0.15584537245548402,0.891433260633187,0.38822268028664,0.0024837778539177346,0.03691687373521835,1843
15,41,-0.1463748200504701,0.632014937832191,-0.03491794883906167,0.15394352852764928,0.5410771406728057,41,Raw hides and skins (other than furskins) and leather.,0.02198499118102415,0.17844641228445646,0.0012276450846195885,0.07917945647273461,0.6060545443571477,2370
16,44,2.223572747574496,0.6153049994430554,0.33383782096825176,1.6526857442347223,0.989926096318559,44,Wood and articles of wood; wood charcoal.,7.011063380968352e-07,0.0011710604324397522,0.7680321149429075,0.15562564099403264,0.7649910542476732,3524
17,63,0.69236313501109,0.6047987168697283,0.08680361049660902,0.14355503670681613,-0.3585102264345114,63,Other made up textile articles; sets; worn clothing and worn textile articles; rags.,0.11083994024972643,0.887536366506029,0.3215548468541778,0.20298624930649423,0.4745163481860748,3035
18,43,7.696291127345156,0.39003329805600534,-6.7494109012848345,8.11677001429099,6.279900348250592,43,Furskins and artificial fur; manufactures thereof.,0.004153809039842082,0.028263404279721405,0.057206485763613646,0.004096884310982096,0.16292611317164263,2105
19,50,0.9184647280214443,0.288686340789497,0.7161915510067597,0.7908467494453354,-2.2893814370373504,50,Silk.,0.08337083410871426,0.7441382375393388,0.8772433051284381,0.6939317364872886,0.569293973054406,2668
20,22,3.236634340351896,0.28867319992695145,0.662288164426861,0.5710455947853837,-0.7485130960796532,22,Beverages  spirits and vinegar.,0.015398308094372926,0.8279743881299726,0.6242115471884571,0.37184697951811096,0.12081941590857181,3453
21,23,1.4432883883270522,0.28771237636276137,0.12190117778993392,0.14986483586253846,-0.20413251865389045,23,Residues and waste from the food industries; prepared animal fodder.,0.025625078357656594,0.9821959010085162,0.8227631775602993,0.5837112628126919,0.33180122950181,2624
